"query","search interest","increase percent"
"google ads for small business",100,"-30%"
"google ads",100,"-30%"
"facebook ads",53,"0%"
"facebook ads for small business",53,"0%"
"small business news",41,"300%"
"target ads",22,"-40%"
"google ads news",12,"Breakout"
"small business ideas",11,"40%"
"how to start a small business",8,"-20%"
"best small business accounting software",4,"Breakout"
"you manage marketing for a small business on a tight budget and you need to drive as many conversions as possible. in which two ways can google ads help?",2,"-90%"
"new york times",2,"-30%"
"when should you use responsive display ads?",1,"-80%"
"which three solutions will enable you to build strong conversion measurement foundations when implementing value-based bidding?",1,"-90%"
"what does performance planner automatically do?",1,"-80%"
"google free advertising for small business",1,"-70%"
"which three best practices could you follow to expand your reach with broad match?",1,"-80%"
"what is the advantage of automating your bid over using manual bidding when it comes to a successful google ads campaign?",1,"-90%"
"what's a benefit of using smart bidding with broad match?",1,"-90%"
"which two asset types can also be served as account-level automated assets?",1,"-90%"
"which three factors impact a search ad's auction-time ad quality?",1,"-90%"
"karen has evaluated her google search ads campaign's optimization score after noticing that the campaign's performance had slipped. the score is much lower than it was a month ago. she accepts an optimization recommendation from the available list. what will happen to her campaign's optimization score?",1,"-90%"
"every ad contains a url displaying your website address. you can add two optional path fields to the display url in a text ad. what's an advantage of using these optional path fields?",1,"-80%"
"you want to improve the relevance of an ad with a particular set of keywords. the goal is to increase the ad rank of the ad so it gets more exposure. what action should improve the ad relevance?",1,"-90%"
"after implementing smart bidding and broad match, what are three campaign best practices you should follow?",1,"-90%"
"theo is looking to improve his google search ads campaign. on his google ads recommendations page, he notices that his google search campaign has an optimization score of 75%. what does this mean?",1,"-90%"
"an electronics company is launching a new tv equipped with a voice command accessibility feature. they decide to use phrase match in their search ads campaign with the keywords television, accessible, and voice. how will phrase match benefit the company's search ads campaign?",1,"-90%"
"brenda's working on improving a google search ad's quality score so it potentially gets a better ad rank and performs better in the ad auction. what change to brenda's ad might improve the ad rank?",1,"-80%"
"you're considering using automated bidding to make your campaign management process more efficient. what are three ways that automated bidding can improve efficiency?",1,"-90%"
"what determines whether a search ad shows in the results for a query, and in what position?",1,"-90%"
"what are two benefits of using broad match, smart bidding, and responsive search ads together?",0,"-90%"
"where can you go to view your bid status, performance trend over time, and conversion delay reporting?",0,"-90%"
"you're a marketing executive at an airline company and have been asked to plan your company's online advertising budget on a monthly basis. you decided to use google ads' performance planner to help accomplish this task. what are two advantages performance planner offers you?",0,"-100%"
"what are three signals broad match uses to match search ads with queries?",0,"-100%"
"a marketing manager wants to use a google search ads campaign to capture the consideration of customers who are searching online for camping equipment. what's a key benefit of a well-managed google search ads campaign?",0,"-100%"
"how does value-based bidding work?",0,"-100%"
